2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "0c813fac-b8f8-463b-80d6-a285fb778853", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.766205+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "d648e972-6b5a-458a-9a30-e936f567d233", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.772959+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Begin to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "99942eb0-6e45-4a67-87e5-c611519bb2c3", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.773248+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Succeed to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "44c68f4f-ffe9-4866-8916-5fa1053dc53a", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.775201+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Begin to restore workflow session before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "1ad5b8a0-31c5-4e1a-b7d0-043ce71959a4", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.775511+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Succeed to restore workflow session before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "0ff006bf-c91d-4e47-91ff-4a18c78dd811", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.780354+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "eab6078f-8812-4b3e-9c71-01f8c8b6ce87", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.780659+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "860e93b9-45c9-4c0a-9824-91c6f90276fb", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.781077+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "94c19fcf-8408-4b3d-a1c9-023a5820f108", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "6ee57e2909ec40f48ad7f8f776fcf5e5"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "94d7fd08-6645-48e8-b712-ffaa933259ae", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.785403+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f2ba5df7f44b42f7aafad559b9170abe"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "84d62de5-1bcf-49ee-8869-f34823228d3e", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.791204+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Begin to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f2ba5df7f44b42f7aafad559b9170abe"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "6e6afbae-a913-4f90-b571-9845a79c464c", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.791572+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Succeed to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f2ba5df7f44b42f7aafad559b9170abe"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "7f7b87d0-d551-4d8c-8e55-484925b2756c", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.792775+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Begin to clear all of current agent's workflow checkpoints on on manually release", "metadata": {"storage_type": "inmemory"}, "workflow_id": "{'f2ba5df7f44b42f7aafad559b9170abe'}"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "b7709ab3-dc05-4d36-8bd4-71c2b71f42d0", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.793155+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Succeed to clear all of current agent's workflow checkpoints on on manually release", "metadata": {"storage_type": "inmemory"}, "workflow_id": "{'f2ba5df7f44b42f7aafad559b9170abe'}"}
2026-05-17 17:40:57 | session | default_trace_id | INFO | {"event_id": "2d8e4bdd-1ac3-42ff-a720-99cbbca1becd", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T17:40:57.793423+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "20d075ec-035b-44c1-ab6a-c2fcc6234dfd", "status": "success", "message": "Remove workflow checkpoint store on manually release", "metadata": {"storage_type": "inmemory"}}
