2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "37b00a62-822b-42f9-93f5-635a86a21770", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.301445+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9a39bee6-5d46-4c01-9681-69fb77682805", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "755409db14fa408b908b5cade5808306"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "e2626b75-da0d-436f-a11d-2913e1b92635", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.301657+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9a39bee6-5d46-4c01-9681-69fb77682805", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "755409db14fa408b908b5cade5808306"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "602cae50-6cd0-4499-aea2-f4c29d211ba8", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.306903+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "816b9f72-1d95-40ce-b9d8-fbbcbaf94a3f", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "d6d316c5424f4c0e915e7629ae3ed9ed"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "6f893205-8995-4d7b-8c34-22d5e279f08c", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.366589+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "816b9f72-1d95-40ce-b9d8-fbbcbaf94a3f", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "d6d316c5424f4c0e915e7629ae3ed9ed"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "4c44abd1-8b87-4569-9f1e-aa20630ba9d4", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.366804+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "816b9f72-1d95-40ce-b9d8-fbbcbaf94a3f", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "d6d316c5424f4c0e915e7629ae3ed9ed"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "abb2a3c6-107a-4cf8-a8fe-5639919c15e6", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.366988+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "816b9f72-1d95-40ce-b9d8-fbbcbaf94a3f", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "d6d316c5424f4c0e915e7629ae3ed9ed"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "f3938f37-9130-446e-b9e0-5aeef12f0658", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.373153+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "ca1b59da-3798-421f-aa64-8a7cedd0fefc", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a73da84f7bfe466582a00de3acf4a867"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "941c179e-a15e-4149-adb7-b912ce4de420", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.397303+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "ca1b59da-3798-421f-aa64-8a7cedd0fefc", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a73da84f7bfe466582a00de3acf4a867"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "d9c9d764-e832-46fd-92e2-996cf5090ca4", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.397491+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "ca1b59da-3798-421f-aa64-8a7cedd0fefc", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a73da84f7bfe466582a00de3acf4a867"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "5bac4b19-3d35-4bc6-a065-487f990a12fa", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.397704+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "ca1b59da-3798-421f-aa64-8a7cedd0fefc", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a73da84f7bfe466582a00de3acf4a867"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "1e9f2b3c-bc5f-40ed-8e0c-1dd131e33894", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.467953+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "f8de3177-3ab0-4b7c-9557-1b447ef0cd52", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f44115fcd16b408697b0356a1b1a8f4b"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "5d3b7b20-7baa-41f1-a515-0544bff38fa3", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.480168+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "f8de3177-3ab0-4b7c-9557-1b447ef0cd52", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f44115fcd16b408697b0356a1b1a8f4b"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "f90024e5-771a-4191-b24c-9951ebd9bd63", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.480380+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "f8de3177-3ab0-4b7c-9557-1b447ef0cd52", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f44115fcd16b408697b0356a1b1a8f4b"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "ab2d80cc-460b-439d-b64b-f940db9b272a", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.480571+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "f8de3177-3ab0-4b7c-9557-1b447ef0cd52", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "f44115fcd16b408697b0356a1b1a8f4b"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "89a35361-cdfe-42ab-99a6-f51c9ee169cd", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.489423+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7dac6819-42da-4bac-a2ee-9f7bb82365be", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "65f508fa334e4a66bf0d160ca4fb8199"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "2a85ff3e-7e2f-4121-a6f8-0863a6cadaf9", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.498001+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7dac6819-42da-4bac-a2ee-9f7bb82365be", "status": "success", "message": "Begin to save workflow checkpoint on workflow exception [100054] component 'add' execute 'invoke' error, reason=''workflow'', workflow='65f508fa334e4a66bf0d160ca4fb8199'", "metadata": {"storage_type": "inmemory"}, "workflow_id": "65f508fa334e4a66bf0d160ca4fb8199"}
2026-05-17 16:03:01 | session | default_trace_id | INFO | {"event_id": "6bab8ecd-3c0d-402b-aca4-37f8a3462aeb", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T16:03:01.498276+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7dac6819-42da-4bac-a2ee-9f7bb82365be", "status": "success", "message": "Succeed to save workflow checkpoint on workflow exception [100054] component 'add' execute 'invoke' error, reason=''workflow'', workflow='65f508fa334e4a66bf0d160ca4fb8199'", "metadata": {"storage_type": "inmemory"}, "workflow_id": "65f508fa334e4a66bf0d160ca4fb8199"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "ac083e28-40b1-42a8-953e-26fade04063e", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.868469+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "72f3d702-5f6d-403d-96cb-edd3f3428d39", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "5831bb004c3c4e54aa5a69b056245698"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "607580c2-9218-4df4-887e-a32c3d5d08ff", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.880911+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "72f3d702-5f6d-403d-96cb-edd3f3428d39", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "5831bb004c3c4e54aa5a69b056245698"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "33104d90-5021-420e-b349-0a2157bf1634", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.881189+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "72f3d702-5f6d-403d-96cb-edd3f3428d39", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "5831bb004c3c4e54aa5a69b056245698"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "96de8434-63c7-487f-8cef-84fb22ff0245", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.881448+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "72f3d702-5f6d-403d-96cb-edd3f3428d39", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "5831bb004c3c4e54aa5a69b056245698"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "fc09c158-206c-4480-b289-c2115376b6ca", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.886256+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "5565ffbc-7b75-43a6-8dc8-5a5e78d3e033", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "8c7b549105134d9c950d9ec6e226d522"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "c3e0768e-2e69-46f0-9a05-3094cd6afe95", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.898690+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "5565ffbc-7b75-43a6-8dc8-5a5e78d3e033", "status": "success", "message": "Begin to save workflow checkpoint on workflow exception [100054] component 'add' execute 'invoke' error, reason=''workflow'', workflow='8c7b549105134d9c950d9ec6e226d522'", "metadata": {"storage_type": "inmemory"}, "workflow_id": "8c7b549105134d9c950d9ec6e226d522"}
2026-05-17 16:04:41 | session | default_trace_id | INFO | {"event_id": "3f669628-5115-4207-9fa6-7a39692be67a", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T16:04:41.898950+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "5565ffbc-7b75-43a6-8dc8-5a5e78d3e033", "status": "success", "message": "Succeed to save workflow checkpoint on workflow exception [100054] component 'add' execute 'invoke' error, reason=''workflow'', workflow='8c7b549105134d9c950d9ec6e226d522'", "metadata": {"storage_type": "inmemory"}, "workflow_id": "8c7b549105134d9c950d9ec6e226d522"}
2026-05-17 16:06:28 | session | default_trace_id | INFO | {"event_id": "e7b158f3-7443-4d9b-9d44-527388e3e6fd", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.523994+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "df275e05-21fb-4f2d-9683-9ffb992b178e", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a88458971ffd4deb9790dfb9f143b560"}
2026-05-17 16:06:28 | session | default_trace_id | INFO | {"event_id": "81af893e-c5b9-4e1f-849d-5743dbeae702", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.535136+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "df275e05-21fb-4f2d-9683-9ffb992b178e", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a88458971ffd4deb9790dfb9f143b560"}
2026-05-17 16:06:28 | session | default_trace_id | INFO | {"event_id": "0dd44f53-4b1e-4837-897e-70f490f59512", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:06:28.535356+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "df275e05-21fb-4f2d-9683-9ffb992b178e", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "a88458971ffd4deb9790dfb9f143b560"}
