2026-04-17 18:57:51 | session | default_trace_id | INFO | {"event_id": "b34cf962-c91b-4275-8187-5ca0414022db", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:57:51.235143+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore workflow session before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:57:51 | session | default_trace_id | INFO | {"event_id": "747c8a68-6f67-4f25-96a0-65d4ade25d1f", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:57:51.236044+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore workflow session before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "d008416d-e831-4469-be99-6eee35b8dfa6", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.917585+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "96e2268f-d54a-44f4-8dbc-15bc011b788b", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.918263+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "weather_flow"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "21a4bf8b-37b9-4677-9a31-a6a668769916", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.927411+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "b14c29e8-b174-45e3-8050-f46df6c3801e", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.928487+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "2797a5f7-78c3-4482-a5aa-e8d7d26428d0", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.929516+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "9d242f37-2e89-4d9e-b67a-f96f72c0eb07", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.930318+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "bbb92960-8c35-4f43-8aeb-d5d83b160fcf", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.931179+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:58:11 | session | default_trace_id | INFO | {"event_id": "6a92293c-dcb2-4f32-878d-2d4544e2a941", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:58:11.931939+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
